pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url	category	image
2022-01-01	A Lifelong Framework for Data Quality Monitoring of Roadside Sensors in Cooperative Vehicle-Infrastructure Systems	Computers and Electrical Engineering	Research paper published in Computers and Electrical Engineering in 2022.	Du, Yuchuan Shi, Yupeng Zhao, Cong Du, Zhouyang Ji, Yuxiong (2022) 'A Lifelong Framework for Data Quality Monitoring of Roadside Sensors in Cooperative Vehicle-Infrastructure Systems' Computers and Electrical Engineering , Vol. 100.0, pp. 108030 , DOI: 10.1016J.COMPELECENG.2022.108030	2022-a-lifelong-framework-for-data-quality-monitoring-o	https://doi.org/10.1016J.COMPELECENG.2022.108030		journal	/assets/images/paper_11.png
2022-01-01	智能网联环境下路侧感知单元数据质量在线监测框架	中国公路学报	Research paper published in 中国公路学报 in 2022.	杜豫川 师钰鹏 都州扬 赵聪 暨育雄 (2022) '智能网联环境下路侧感知单元数据质量在线监测框架' 中国公路学报 , Vol. 35.0, No. 3.0, pp. 273-285 , DOI: 10.19721j.cnki.1001-7372.2022.03.023	2022-智能网联环境下路侧感知单元数据质量在线监测框架	https://doi.org/10.19721j.cnki.1001-7372.2022.03.023		journal	/assets/images/paper_12.png
2022-01-01	TrajGAT A map-embedded graph attention network for real-time vehicle trajectory imputation of roadside perception	Transportation Research Part C Emerging Technologies	Research paper published in Transportation Research Part C Emerging Technologies in 2022.	Zhao, Cong Song, Andi Du, Yuchuan Yang, Biao (2022) 'TrajGAT A map-embedded graph attention network for real-time vehicle trajectory imputation of roadside perception' Transportation Research Part C Emerging Technologies , Vol. 142.0, pp. 103787 , DOI: 10.1016j.trc.2022.103787	2022-trajgat-a-map-embedded-graph-attention-network-for	https://doi.org/10.1016j.trc.2022.103787		journal	/assets/images/paper_13.png
2023-01-01	Identifying and correcting the errors of vehicle trajectories from roadside millimetrewave radars	IET Intelligent Transport Systems	Research paper published in IET Intelligent Transport Systems in 2023.	Lei, Cailin Zhao, Cong Ji, Yuxiong Shen, Yu Du, Yuchuan (2023) 'Identifying and correcting the errors of vehicle trajectories from roadside millimetrewave radars' IET Intelligent Transport Systems , Vol. 17.0, No. 2.0, pp. 418-434 , DOI: 10.1049itr2.12268	2023-identifying-and-correcting-the-errors-of-vehicle-t	https://doi.org/10.1049itr2.12268		journal	/assets/images/paper_14.png
2023-01-01	A hierarchical framework for improving ride comfort of autonomous vehicles via deep reinforcement learning with external knowledge	ComputerAided Civil and Infrastructure Engineering	Research paper published in ComputerAided Civil and Infrastructure Engineering in 2023.	Du, Yuchuan Chen, Jing Zhao, Cong Liao, Feixiong Zhu, Meixin (2023) 'A hierarchical framework for improving ride comfort of autonomous vehicles via deep reinforcement learning with external knowledge' ComputerAided Civil and Infrastructure Engineering , Vol. 38.0, pp. 10591078 , DOI: 10.1111mice.12934	2023-a-hierarchical-framework-for-improving-ride-comfor	https://doi.org/10.1111mice.12934		journal	/assets/images/paper_15.png
2023-01-01	Analysis of perception accuracy of roadside millimeter-wave radar for traffic risk assessment and early warning systems	International journal of environmental research and public health	Research paper published in International journal of environmental research and public health in 2023.	Zhao, Cong Ding, Delong Du, Zhouyang Shi, Yupeng Su, Guimin Yu, Shanchuan (2023) 'Analysis of perception accuracy of roadside millimeter-wave radar for traffic risk assessment and early warning systems' International journal of environmental research and public health , Vol. 20.0, No. 1.0, pp. 879 , DOI: 10.3390ijerph20010879	2023-analysis-of-perception-accuracy-of-roadside-millim	https://doi.org/10.3390ijerph20010879		journal	/assets/images/paper_16.png
2023-01-01	Safe, efficient, and comfortable autonomous driving based on cooperative vehicle infrastructure system	International journal of environmental research and public health	Research paper published in International journal of environmental research and public health in 2023.	Chen, Jing Zhao, Cong Jiang, Shengchuan Zhang, Xinyuan Li, Zhongxin Du, Yuchuan (2023) 'Safe, efficient, and comfortable autonomous driving based on cooperative vehicle infrastructure system' International journal of environmental research and public health , Vol. 20.0, No. 1.0, pp. 893 , DOI: 10.3390IJERPH20010893	2023-safe,-efficient,-and-comfortable-autonomous-drivin	https://doi.org/10.3390IJERPH20010893		journal	/assets/images/paper_17.png
2023-01-01	TriPField A 3D potential field model and its applications to local path planning of autonomous vehicles	IEEE Transactions on Intelligent Transportation Systems	Research paper published in IEEE Transactions on Intelligent Transportation Systems in 2023.	Ji, Yuxiong Ni, Lantao Zhao, Cong Lei, Cailin Du, Yuchuan Wang, Wenshuo (2023) 'TriPField A 3D potential field model and its applications to local path planning of autonomous vehicles' IEEE Transactions on Intelligent Transportation Systems , Vol. 24.0, No. 3.0, pp. 3541-3554 , DOI: 10.1109tits.2022.3231259	2023-tripfield-a-3d-potential-field-model-and-its-appli	https://doi.org/10.1109tits.2022.3231259		journal	/assets/images/paper_18.png
2023-01-01	Data-driven indoor positioning correction for infrastructure-enabled autonomous driving systems A lifelong framework	IEEE Transactions on Intelligent Transportation Systems	Research paper published in IEEE Transactions on Intelligent Transportation Systems in 2023.	Zhao, Cong Song, Andi Zhu, Yifan Jiang, Shengchuan Liao, Feixiong Du, Yuchuan (2023) 'Data-driven indoor positioning correction for infrastructure-enabled autonomous driving systems A lifelong framework' IEEE Transactions on Intelligent Transportation Systems , Vol. 24.0, No. 4.0, pp. 3908-3921 , DOI: 10.1109tits.2022.3233563	2023-data-driven-indoor-positioning-correction-for-infr	https://doi.org/10.1109tits.2022.3233563		journal	/assets/images/paper_19.png
2023-01-01	Understanding traffic bottlenecks of long freeway tunnels based on a novel location-dependent lighting-related car-following model	Tunnelling and Underground Space Technology	Research paper published in Tunnelling and Underground Space Technology in 2023.	Yu, Shanchuan Zhao, Cong Song, Lang Li, Yishun Du, Yuchuan (2023) 'Understanding traffic bottlenecks of long freeway tunnels based on a novel location-dependent lighting-related car-following model' Tunnelling and Underground Space Technology , Vol. 136.0, pp. 105098 , DOI: 10.1016j.tust.2023.105098	2023-understanding-traffic-bottlenecks-of-long-freeway	https://doi.org/10.1016j.tust.2023.105098		journal	/assets/images/paper_20.png
2024-01-01	A rapid and convenient spatiotemporal calibration method of roadside sensors using floating connected and automated vehicle data	IEEE Transactions on Intelligent Transportation Systems	Research paper published in IEEE Transactions on Intelligent Transportation Systems in 2024.	Zhao, Cong Shi, Yupeng Du, Yuchuan Jiang, Shengchuan Ji, Yuxiong Zhao, Xiangmo (2024) 'A rapid and convenient spatiotemporal calibration method of roadside sensors using floating connected and automated vehicle data' IEEE Transactions on Intelligent Transportation Systems , Vol. 25.0, No. 9.0, pp. 10953-10966 , DOI: 10.1109tits.2024.3366758	2024-a-rapid-and-convenient-spatiotemporal-calibration	https://doi.org/10.1109tits.2024.3366758		journal	/assets/images/paper_21.png
2024-01-01	Graph matching-based spatiotemporal calibration of roadside sensors in cooperative vehicle-infrastructure systems	IEEE Transactions on Intelligent Transportation Systems	Research paper published in IEEE Transactions on Intelligent Transportation Systems in 2024.	Zhao, Cong Ding, Delong Shi, Yupeng Ji, Yuxiong Du, Yuchuan (2024) 'Graph matching-based spatiotemporal calibration of roadside sensors in cooperative vehicle-infrastructure systems' IEEE Transactions on Intelligent Transportation Systems , Vol. 25.0, No. 8.0, pp. 9281-9295 , DOI: 10.1109tits.2024.3374281	2024-graph-matching-based-spatiotemporal-calibration-of	https://doi.org/10.1109tits.2024.3374281		journal	/assets/images/paper_22.png
2024-01-01	Multi-modal trajectory forecasting with Multi-scale Interactions and Multi-pseudo-target Supervision	Knowledge-Based Systems	Research paper published in Knowledge-Based Systems in 2024.	Zhao, Cong Song, Andi Zeng, Zimu Ji, Yuxiong Du, Yuchuan (2024) 'Multi-modal trajectory forecasting with Multi-scale Interactions and Multi-pseudo-target Supervision' Knowledge-Based Systems , Vol. 296.0, pp. 111903 , DOI: 10.1016j.knosys.2024.111903	2024-multi-modal-trajectory-forecasting-with-multi-scal	https://doi.org/10.1016j.knosys.2024.111903		journal	/assets/images/paper_23.png
2024-01-01	A two-stage framework for parking search behavior prediction through adversarial inverse reinforcement learning and transformer	Expert Systems with Applications	Research paper published in Expert Systems with Applications in 2024.	Ji, Tianyi Zhao, Cong Ji, Yuxiong Du, Yuchuan (2024) 'A two-stage framework for parking search behavior prediction through adversarial inverse reinforcement learning and transformer' Expert Systems with Applications , Vol. 255.0, pp. 124548 , DOI: 10.1016j.eswa.2024.124548	2024-a-two-stage-framework-for-parking-search-behavior	https://doi.org/10.1016j.eswa.2024.124548		journal	/assets/images/paper_24.png
