pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2022-12-31	A Lifelong Framework for Data Quality Monitoring of Roadside Sensors in Cooperative Vehicle-Infrastructure Systems	Computers and Electrical Engineering	Research article titled 'A Lifelong Framework for Data Quality Monitoring of Roadside Sensors in Cooperative Vehicle-Infrastructure Systems' published in Computers and Electrical Engineering.	Du, Yuchuan; Shi, Yupeng; Zhao, Cong; Du, Zhouyang; Ji, Yuxiong. (2022). A Lifelong Framework for Data Quality Monitoring of Roadside Sensors in Cooperative Vehicle-Infrastructure Systems. Computers and Electrical Engineering, 100.0, :108030. Pergamon. DOI: https://doi.org/10.1016/J.COMPELECENG.2022.108030	a-lifelong-framework-for-data-quality-monitoring-o-re-systems	https://doi.org/10.1016/J.COMPELECENG.2022.108030	
2022-12-31	智能网联环境下路侧感知单元数据质量在线监测框架	中国公路学报	Research article titled '智能网联环境下路侧感知单元数据质量在线监测框架' published in 中国公路学报.	杜豫川; 师钰鹏; 都州扬; 赵聪; 暨育雄. (2022). 智能网联环境下路侧感知单元数据质量在线监测框架. 中国公路学报, 35.0, (3.0), :273-285. DOI: https://doi.org/10.19721/j.cnki.1001-7372.2022.03.023	智能网联环境下路侧感知单元数据质量在线监测框架	https://doi.org/10.19721/j.cnki.1001-7372.2022.03.023	
2022-12-31	TrajGAT: A map-embedded graph attention network for real-time vehicle trajectory imputation of roadside perception	Transportation Research Part C: Emerging Technologies	Research article titled 'TrajGAT: A map-embedded graph attention network for real-time vehicle trajectory imputation of roadside perception' published in Transportation Research Part C: Emerging Technologies.	Zhao, Cong; Song, Andi; Du, Yuchuan; Yang, Biao. (2022). TrajGAT: A map-embedded graph attention network for real-time vehicle trajectory imputation of roadside perception. Transportation Research Part C: Emerging Technologies, 142.0, :103787. Pergamon. DOI: https://doi.org/10.1016/j.trc.2022.103787	trajgat-a-mapembedded-graph-attention-network-for--perception	https://doi.org/10.1016/j.trc.2022.103787	
2023-12-31	Identifying and correcting the errors of vehicle trajectories from roadside millimetre‐wave radars	IET Intelligent Transport Systems	Research article titled 'Identifying and correcting the errors of vehicle trajectories from roadside millimetre‐wave radars' published in IET Intelligent Transport Systems.	Lei, Cailin; Zhao, Cong; Ji, Yuxiong; Shen, Yu; Du, Yuchuan. (2023). Identifying and correcting the errors of vehicle trajectories from roadside millimetre‐wave radars. IET Intelligent Transport Systems, 17.0, (2.0), :418-434. DOI: https://doi.org/10.1049/itr2.12268	identifying-and-correcting-the-errors-of-vehicle-t-ave-radars	https://doi.org/10.1049/itr2.12268	
2023-12-31	A hierarchical framework for improving ride comfort of autonomous vehicles via deep reinforcement learning with external knowledge	Computer‐Aided Civil and Infrastructure Engineering	Research article titled 'A hierarchical framework for improving ride comfort of autonomous vehicles via deep reinforcement learning with external knowledge' published in Computer‐Aided Civil and Infrastructure Engineering.	Du, Yuchuan; Chen, Jing; Zhao, Cong; Liao, Feixiong; Zhu, Meixin. (2023). A hierarchical framework for improving ride comfort of autonomous vehicles via deep reinforcement learning with external knowledge. Computer‐Aided Civil and Infrastructure Engineering, 38.0, :1059–1078. DOI: https://doi.org/10.1111/mice.12934	a-hierarchical-framework-for-improving-ride-comfor--knowledge	https://doi.org/10.1111/mice.12934	
2023-12-31	Analysis of perception accuracy of roadside millimeter-wave radar for traffic risk assessment and early warning systems	International journal of environmental research and public health	Research article titled 'Analysis of perception accuracy of roadside millimeter-wave radar for traffic risk assessment and early warning systems' published in International journal of environmental research and public health.	Zhao, Cong; Ding, Delong; Du, Zhouyang; Shi, Yupeng; Su, Guimin; Yu, Shanchuan. (2023). Analysis of perception accuracy of roadside millimeter-wave radar for traffic risk assessment and early warning systems. International journal of environmental research and public health, 20.0, (1.0), :879. MDPI. DOI: https://doi.org/10.3390/ijerph20010879	analysis-of-perception-accuracy-of-roadside-millim-ng-systems	https://doi.org/10.3390/ijerph20010879	
2023-12-31	Safe, efficient, and comfortable autonomous driving based on cooperative vehicle infrastructure system	International journal of environmental research and public health	Research article titled 'Safe, efficient, and comfortable autonomous driving based on cooperative vehicle infrastructure system' published in International journal of environmental research and public health.	Chen, Jing; Zhao, Cong; Jiang, Shengchuan; Zhang, Xinyuan; Li, Zhongxin; Du, Yuchuan. (2023). Safe, efficient, and comfortable autonomous driving based on cooperative vehicle infrastructure system. International journal of environmental research and public health, 20.0, (1.0), :893. MDPI. DOI: https://doi.org/10.3390/IJERPH20010893	safe-efficient-and-comfortable-autonomous-driving--ure-system	https://doi.org/10.3390/IJERPH20010893	
2023-12-31	TriPField: A 3D potential field model and its applications to local path planning of autonomous vehicles	IEEE Transactions on Intelligent Transportation Systems	Research article titled 'TriPField: A 3D potential field model and its applications to local path planning of autonomous vehicles' published in IEEE Transactions on Intelligent Transportation Systems.	Ji, Yuxiong; Ni, Lantao; Zhao, Cong; Lei, Cailin; Du, Yuchuan; Wang, Wenshuo. (2023). TriPField: A 3D potential field model and its applications to local path planning of autonomous vehicles. IEEE Transactions on Intelligent Transportation Systems, 24.0, (3.0), :3541-3554. IEEE. DOI: https://doi.org/10.1109/tits.2022.3231259	tripfield-a-3d-potential-field-model-and-its-appli-s-vehicles	https://doi.org/10.1109/tits.2022.3231259	
2023-12-31	Data-driven indoor positioning correction for infrastructure-enabled autonomous driving systems: A lifelong framework	IEEE Transactions on Intelligent Transportation Systems	Research article titled 'Data-driven indoor positioning correction for infrastructure-enabled autonomous driving systems: A lifelong framework' published in IEEE Transactions on Intelligent Transportation Systems.	Zhao, Cong; Song, Andi; Zhu, Yifan; Jiang, Shengchuan; Liao, Feixiong; Du, Yuchuan. (2023). Data-driven indoor positioning correction for infrastructure-enabled autonomous driving systems: A lifelong framework. IEEE Transactions on Intelligent Transportation Systems, 24.0, (4.0), :3908-3921. IEEE. DOI: https://doi.org/10.1109/tits.2022.3233563	datadriven-indoor-positioning-correction-for-infra--framework	https://doi.org/10.1109/tits.2022.3233563	
2023-12-31	Understanding traffic bottlenecks of long freeway tunnels based on a novel location-dependent lighting-related car-following model	Tunnelling and Underground Space Technology	Research article titled 'Understanding traffic bottlenecks of long freeway tunnels based on a novel location-dependent lighting-related car-following model' published in Tunnelling and Underground Space Technology.	Yu, Shanchuan; Zhao, Cong; Song, Lang; Li, Yishun; Du, Yuchuan. (2023). Understanding traffic bottlenecks of long freeway tunnels based on a novel location-dependent lighting-related car-following model. Tunnelling and Underground Space Technology, 136.0, :105098. Elsevier. DOI: https://doi.org/10.1016/j.tust.2023.105098	understanding-traffic-bottlenecks-of-long-freeway--wing-model	https://doi.org/10.1016/j.tust.2023.105098	
2024-12-31	A rapid and convenient spatiotemporal calibration method of roadside sensors using floating connected and automated vehicle data	IEEE Transactions on Intelligent Transportation Systems	Research article titled 'A rapid and convenient spatiotemporal calibration method of roadside sensors using floating connected and automated vehicle data' published in IEEE Transactions on Intelligent Transportation Systems.	Zhao, Cong; Shi, Yupeng; Du, Yuchuan; Jiang, Shengchuan; Ji, Yuxiong; Zhao, Xiangmo. (2024). A rapid and convenient spatiotemporal calibration method of roadside sensors using floating connected and automated vehicle data. IEEE Transactions on Intelligent Transportation Systems, 25.0, (9.0), :10953-10966. IEEE. DOI: https://doi.org/10.1109/tits.2024.3366758	a-rapid-and-convenient-spatiotemporal-calibration--hicle-data	https://doi.org/10.1109/tits.2024.3366758	
2024-12-31	Graph matching-based spatiotemporal calibration of roadside sensors in cooperative vehicle-infrastructure systems	IEEE Transactions on Intelligent Transportation Systems	Research article titled 'Graph matching-based spatiotemporal calibration of roadside sensors in cooperative vehicle-infrastructure systems' published in IEEE Transactions on Intelligent Transportation Systems.	Zhao, Cong; Ding, Delong; Shi, Yupeng; Ji, Yuxiong; Du, Yuchuan. (2024). Graph matching-based spatiotemporal calibration of roadside sensors in cooperative vehicle-infrastructure systems. IEEE Transactions on Intelligent Transportation Systems, 25.0, (8.0), :9281-9295. IEEE. DOI: https://doi.org/10.1109/tits.2024.3374281	graph-matchingbased-spatiotemporal-calibration-of--re-systems	https://doi.org/10.1109/tits.2024.3374281	
2024-12-31	Multi-modal trajectory forecasting with Multi-scale Interactions and Multi-pseudo-target Supervision	Knowledge-Based Systems	Research article titled 'Multi-modal trajectory forecasting with Multi-scale Interactions and Multi-pseudo-target Supervision' published in Knowledge-Based Systems.	Zhao, Cong; Song, Andi; Zeng, Zimu; Ji, Yuxiong; Du, Yuchuan. (2024). Multi-modal trajectory forecasting with Multi-scale Interactions and Multi-pseudo-target Supervision. Knowledge-Based Systems, 296.0, :111903. Elsevier. DOI: https://doi.org/10.1016/j.knosys.2024.111903	multimodal-trajectory-forecasting-with-multiscale--upervision	https://doi.org/10.1016/j.knosys.2024.111903	
2024-12-31	A two-stage framework for parking search behavior prediction through adversarial inverse reinforcement learning and transformer	Expert Systems with Applications	Research article titled 'A two-stage framework for parking search behavior prediction through adversarial inverse reinforcement learning and transformer' published in Expert Systems with Applications.	Ji, Tianyi; Zhao, Cong; Ji, Yuxiong; Du, Yuchuan. (2024). A two-stage framework for parking search behavior prediction through adversarial inverse reinforcement learning and transformer. Expert Systems with Applications, 255.0, :124548. Pergamon. DOI: https://doi.org/10.1016/j.eswa.2024.124548	a-twostage-framework-for-parking-search-behavior-p-ransformer	https://doi.org/10.1016/j.eswa.2024.124548	
2024-12-31	Beyond centralization: Non-cooperative perimeter control with extended mean-field reinforcement learning in urban road networks	Transportation Research Part B: Methodological	Research article titled 'Beyond centralization: Non-cooperative perimeter control with extended mean-field reinforcement learning in urban road networks' published in Transportation Research Part B: Methodological.	Li, Xinghua; Zhang, Xinyuan; Qian, Xinwu; Zhao, Cong; Guo, Yuntao; Peeta, Srinivas. (2024). Beyond centralization: Non-cooperative perimeter control with extended mean-field reinforcement learning in urban road networks. Transportation Research Part B: Methodological, 186.0, :103016. Pergamon. DOI: https://doi.org/10.1016/j.trb.2024.103016	beyond-centralization-noncooperative-perimeter-con-d-networks	https://doi.org/10.1016/j.trb.2024.103016	
2024-12-31	Comfortable driving control for connected automated vehicles based on deep reinforcement learning and knowledge transfer	IET Intelligent Transport Systems	Research article titled 'Comfortable driving control for connected automated vehicles based on deep reinforcement learning and knowledge transfer' published in IET Intelligent Transport Systems.	Wu, Chuna; Chen, Jing; Yao, Jinqiang; Chen, Tianyi; Cao, Jing; Zhao, Cong. (2024). Comfortable driving control for connected automated vehicles based on deep reinforcement learning and knowledge transfer. IET Intelligent Transport Systems, 18.0, (12.0), :2678-2692. DOI: https://doi.org/10.1049/itr2.12540	comfortable-driving-control-for-connected-automate-e-transfer	https://doi.org/10.1049/itr2.12540	
2024-12-31	Learning to search for parking like a human: A deep inverse reinforcement learning approach	International Journal of Transportation Science and Technology	Research article titled 'Learning to search for parking like a human: A deep inverse reinforcement learning approach' published in International Journal of Transportation Science and Technology.	Wang, Shiyu; Yang, Haiyan; Tang, Yijia; Chen, Jing; Zhao, Cong; Du, Yuchuan. (2024). Learning to search for parking like a human: A deep inverse reinforcement learning approach. International Journal of Transportation Science and Technology. Elsevier. DOI: https://doi.org/10.1016/j.ijtst.2024.11.007	learning-to-search-for-parking-like-a-human-a-deep-g-approach	https://doi.org/10.1016/j.ijtst.2024.11.007	
